text,category,date-received,sender,sender_category,label
"Nice! You received a P10 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",ads,2025-07-23 18:43:21,MayaRewards,Verified_Brand,0
"Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",ads,2025-07-25 11:16:23,MayaRewards,Verified_Brand,0
"Nice! You received a P10 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",ads,2025-08-15 16:13:59,MayaRewards,Verified_Brand,0
"Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",ads,2025-08-22 12:23:01,MayaRewards,Verified_Brand,0
"Nice! You received a P10 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",ads,2025-09-11 13:50:59,MayaRewards,Verified_Brand,0
"Nice! You received a P10 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",ads,2025-09-18 14:12:32,MayaRewards,Verified_Brand,0
"Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",ads,2025-09-19 13:55:54,MayaRewards,Verified_Brand,0
"Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",ads,2025-09-26 11:12:36,MayaRewards,Verified_Brand,0
"Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",ads,2025-11-27 18:39:33,MayaRewards,Verified_Brand,0
"Hi! I-register na ang iyong GFiber Prepaid account sa GlobeOne app para masimulan ang UNLI internet experience!

Maaari kang mag-avail ng up to 3 UNLISurf promos. Sa GlobeOne, pumunta sa GFiber Prepaid dashboard > Buy Promos > Subscribe. Pwede ring mag-load via GCash: tap Load > Broadband > GFiber Prepaid, at pumili ng promo.

May FREE UNLISurf199 (7 Days UNLI) ka rin for every successful referral! Hanapin ang referral code mo sa dashboard at i-share sa social media.",ads,2025-07-07 18:40:19,GLOBEATHOME,Verified_Brand,0
"Sana ay nasa mabuting kalagayan ka at ang iyong pamilya sa kabila ng patuloy na pag-ulan dulot ng Bagyong Opong. Para manatiling ligtas, ito ang ilang paalala:

1) Store enough food and drinking water.
2) Have an emergency bag with a flashlight, batteries, candles, and a first-aid kit.
3) Be sure to charge your phones and power banks.
4) Prepare extra clothes and toiletry kit should there be a need to evacuate.
5) Always be updated on the latest news and LGU announcements.

Salamat at ingat lagi!",ads,2025-09-26 17:33:39,GLOBEATHOME,Verified_Brand,0
"Sana ay nasa mabuting kalagayan ka at ang iyong pamilya sa kabila ng patuloy na pag-ulan dulot ng Bagyong Ramil. Para manatiling ligtas, ito ang ilang paalala:

1) Store enough food and drinking water.
2) Have an emergency bag with a flashlight, batteries, candles, and a first-aid kit.
3) Be sure to charge your phones and power banks.
4) Prepare extra clothes and toiletry kit should there be a need to evacuate.
5) Always be updated on the latest news and LGU announcements.

Salamat at ingat lagi!",ads,2025-10-19 17:33:35,GLOBEATHOME,Verified_Brand,0
"Sana ay nasa mabuting kalagayan ka at ang iyong pamilya sa kabila ng patuloy na pag-ulan dulot ng Bagyong Uwan. Para manatiling ligtas, ito ang ilang paalala:

1) Store enough food and drinking water.
2) Have an emergency bag with a flashlight, batteries, candles, and a first-aid kit.
3) Be sure to charge your phones and power banks.
4) Prepare extra clothes and toiletry kit should there be a need to evacuate.
5) Always be updated on the latest news and LGU announcements.

Salamat at ingat lagi!",ads,2025-11-09 01:05:03,GLOBEATHOME,Verified_Brand,0
"Hi! Pasensya na at napatagal ang aming system activity. 'Wag mag-alala, tutulungan ka namin agad sa iyong concerns kapag naibalik na ang service. Salamat sa iyong pang-unawa.",ads,2025-11-19 03:15:06,GLOBEATHOME,Verified_Brand,0
Hi! Nais naming ipaalam sa iyo na natapos na ang aming system activity. Pwede na ulit mag-register sa mga promos via GlobeOne. Salamat!,ads,2025-11-19 04:34:34,GLOBEATHOME,Verified_Brand,0
"Turn your PLDT bill into rewards! Join PLDT Home Rewards and get up to 120 Crystals, plus earn more for every P50 you pay on time and in full. Use your Crystals to redeem exclusive offers! Just tap Rewards in the PLDT website to join.",ads,2025-11-14 15:25:17,PLDTRewards,Verified_Brand,0
"Happy day! 

This is Kate from the Maintenance Reminder and Appointment Team of Toyota Pasig.

We would like to remind you that your vehicle is due for Preventive Maintenance Service (PMS). To assist you with scheduling, please provide the following details:

• Preferred Date & Time: • Customer Name: • Plate Number: • Vehicle Model:
• Mileage:  • Contact Number: • Preferred Service Advisor (if any): • Will you wait for the vehicle? (Yes/No)

For any questions or concerns, you may reach me directly at (0969) 582 8365.

Thank you and drive safely! Toyota Pasig Service Department",smishing,2025-11-10 11:28:43,+6396958***65,Personal_Mobile,1
"Nothing is more important to us than your convenience. 
  We have made improvements in our mobile apps to enable you to get the support you need without having to go out or call our hotline. 
  If you need to view, pay or ask about your bill, register for promos, and more, download the GlobeOne app.
  To renew your Postpaid plan, simply visit the Globe Online Shop.
  Thank you and please stay safe!",ads,2025-10-15 13:57:59,GLOBE,Verified_Brand,0
"Stay in the game and keep the win streak going with Smart UNLI 5G+! Enjoy UNLI 5G + nonstop 4G data + UNLI Calls & Texts for 3 days, for only P115!",ads,2025-07-11 16:03:17,SM Malls,Verified_Brand,0
"Ala eh! #SM3DaySale na sa Oct 17, 18, 19, 2025 sa SM City Batangas at may chance ka pa to win a Suzuki Jimny when you shop! Per DTI Permit No. FTEB237105 S2025",ads,2025-10-13 11:45:58,SM Malls,Verified_Brand,0
"Answer calls from anywhere in the house! Upgrade to a cordless telset featuring caller ID display, auto-answer, and wireless convenience for only P99/mo x 24mos .

Get yours today at pldthome.info/JTE1",ads,2025-07-13 11:34:59,PLDTDeals,Verified_Brand,0
"Clear calls and timeless TV, just like the good old days. The Cordless Telset keeps lolo and lola connected with ease, while Cignal brings back their favorite shows. It's comfort and connection made simple. Only P99/mo x 24 mos for Telset, Cignal from P290/mo.

Get started at pldthome.info/JTC2",ads,2025-07-30 18:41:35,PLDTDeals,Verified_Brand,0
"Clear calls made simple. The Cordless Telset lets lolo and lola chat with ease with caller ID, auto-answer, and no messy wires. Just P189/mo x 12 mos.
Order now at pldthome.info/ATS1",ads,2025-08-07 14:26:32,PLDTDeals,Verified_Brand,0
"From catching up with family to enjoying TV classics, the Cordless Telset makes communication simple, while Cignal brings programs for all ages. Everything you need for a home that cares for you. Get a Cordless Telset at P99/mo x 24 mos and Cignal from P290/mo: pldthome.info/STC1",ads,2025-09-09 16:15:11,PLDTDeals,Verified_Brand,0
"Still stuck to one spot? Go cordless today! The Cordless Telset gives wireless freedom, caller ID & auto-answer so you never miss a call. Get it for P99/mo x 24 mos and talk from anywhere at home: pldthome.info/OTL1",ads,2025-10-03 08:58:15,PLDTDeals,Verified_Brand,0
"Still stuck to one spot? Go cordless today! The Cordless Telset gives wireless freedom, caller ID & auto-answer so you never miss a call. Get it for P99/mo x 24 mos and talk from anywhere at home: pldthome.info/OTL1",ads,2025-10-07 13:41:50,PLDTDeals,Verified_Brand,0
"Hi SCOTT! May mga nanalo na ng cash prizes sa LOAN-TO-WIN RAFFLE PROMO! Ikaw na kaya ang next winner? Apply na sa Pag-IBIG Multi-Purpose Loan para sa chance mong manalo ng up to P50,000 sa Grand Draw! For more details, visit our website then go to the LOAN-TO-WIN RAFFLE PROMO page. ",gov,2025-09-24 07:25:23,PagIBIGFund,Verified_Brand,0
"Your Birthday Treat is here! Celebrate your special day with 20% OFF at Bratpack, GRIND, ResToeRun, R.O.X., The Travel Club, & other PRIMER stores. Rediscover premium brands like Birkenstock, Montbell, Hedgren, Hydro Flask, Delsey, Sledgers, & more. This promo runs until Sept. 30 2025. T&Cs apply.",ads,2025-09-01 11:03:09,PRIMERGROUP,Verified_Brand,0
"Your exclusive 20% OFF Birthday Treat this month is expiring SOON! Shop at Bratpack, GRIND, ResToeRun, R.O.X., The Travel Club & other Primer stores. Gift yourself with top picks from Birkenstock, Hedgren, Hydro Flask, Columbia, Delsey, & more. Hurry, this promo runs until Sept. 30, 2025. T&Cs apply",ads,2025-09-20 10:02:08,PRIMERGROUP,Verified_Brand,0
<BLANK>,smishing,2025-08-27 17:57:30,122,Short_Code,1
